ASN,Name,T1,Peer ASNs,% of all ASNs,Non-Unique Peer ASNs,% Non-Unique Peer ASNs,Unique Peer ASNs,% Unique Peer ASNs,Peering Overlap 174,% Peering Overlap 174,Peering Overlap 701,% Peering Overlap 701,Peering Overlap 1273,% Peering Overlap 1273,Peering Overlap 1299,% Peering Overlap 1299,Peering Overlap 2914,% Peering Overlap 2914,Peering Overlap 3257,% Peering Overlap 3257,Peering Overlap 3320,% Peering Overlap 3320,Peering Overlap 3356,% Peering Overlap 3356,Peering Overlap 3491,% Peering Overlap 3491,Peering Overlap 4637,% Peering Overlap 4637,Peering Overlap 5511,% Peering Overlap 5511,Peering Overlap 6453,% Peering Overlap 6453,Peering Overlap 6461,% Peering Overlap 6461,Peering Overlap 6762,% Peering Overlap 6762,Peering Overlap 6830,% Peering Overlap 6830,Peering Overlap 6939,% Peering Overlap 6939,Peering Overlap 7018,% Peering Overlap 7018,Peering Overlap 7473,% Peering Overlap 7473,Peering Overlap 9002,% Peering Overlap 9002,Peering Overlap 9498,% Peering Overlap 9498,Peering Overlap 12956,% Peering Overlap 12956,Peering Overlap 13786,% Peering Overlap 13786,Peering Overlap 14840,% Peering Overlap 14840,Peering Overlap 20473,% Peering Overlap 20473,Peering Overlap 24482,% Peering Overlap 24482,Peering Overlap 35280,% Peering Overlap 35280,Peering Overlap 36236,% Peering Overlap 36236,Peering Overlap 37468,% Peering Overlap 37468,Peering Overlap 37721,% Peering Overlap 37721,Peering Overlap 39120,% Peering Overlap 39120,Peering Overlap 49544,% Peering Overlap 49544,Peering Overlap 52320,% Peering Overlap 52320,Peering Overlap 64289,% Peering Overlap 64289,Peering Overlap 199524,% Peering Overlap 199524
14840,BR DIGITAL,False,5769,6.57,5369,93.07,401,6.95,1220,21.15,49,0.85,96,1.66,965,16.73,565,9.79,522,9.05,236,4.09,1249,21.65,197,3.41,210,3.64,168,2.91,245,4.25,488,8.46,404,7.00,164,2.84,4585,79.48,40,0.69,111,1.92,1409,24.42,3536,61.29,145,2.51,460,7.97,X,X,161,2.79,4782,82.89,3537,61.31,4060,70.38,1778,30.82,2151,37.29,4669,80.93,4036,69.96,1829,31.70,1247,21.62,3771,65.37
20473,Constant Company,False,1563,1.78,1013,64.81,551,35.25,169,10.81,24,1.54,39,2.50,166,10.62,413,26.42,130,8.32,48,3.07,147,9.40,88,5.63,91,5.82,42,2.69,55,3.52,82,5.25,63,4.03,56,3.58,541,34.61,29,1.86,44,2.82,165,10.56,200,12.80,48,3.07,75,4.80,161,10.30,X,X,512,32.76,382,24.44,421,26.94,169,10.81,151,9.66,191,12.22,448,28.66,129,8.25,147,9.40,308,19.71
24482,SG.GS,False,10105,11.51,9810,97.08,296,2.93,2026,20.05,70,0.69,122,1.21,1440,14.25,930,9.20,765,7.57,278,2.75,1580,15.64,405,4.01,353,3.49,246,2.43,363,3.59,688,6.81,477,4.72,201,1.99,7218,71.43,62,0.61,191,1.89,2560,25.33,4062,40.20,151,1.49,586,5.80,4782,47.32,512,5.07,X,X,5790,57.30,6995,69.22,2537,25.11,3436,34.00,5515,54.58,7329,72.53,2008,19.87,2102,20.80,5220,51.66
35280,F5 Networks,False,6465,7.36,6286,97.23,180,2.78,1535,23.74,81,1.25,122,1.89,1048,16.21,832,12.87,597,9.23,249,3.85,1358,21.01,357,5.52,341,5.27,212,3.28,332,5.14,671,10.38,370,5.72,168,2.60,4941,76.43,77,1.19,189,2.92,1849,28.60,3523,54.49,149,2.30,535,8.28,3537,54.71,382,5.91,5790,89.56,X,X,5155,79.74,1966,30.41,2066,31.96,3702,57.26,4725,73.09,2005,31.01,950,14.69,4124,63.79
36236,Net Actuate,False,7681,8.75,7593,98.85,89,1.16,1853,24.12,75,0.98,123,1.60,1286,16.74,834,10.86,710,9.24,249,3.24,1511,19.67,375,4.88,327,4.26,226,2.94,338,4.40,730,9.50,398,5.18,190,2.47,6002,78.14,73,0.95,184,2.40,2121,27.61,3777,49.17,166,2.16,593,7.72,4060,52.86,421,5.48,6995,91.07,5155,67.11,X,X,2354,30.65,2755,35.87,4886,63.61,6104,79.47,1987,25.87,1397,18.19,4500,58.59
37468,Angola Cables,False,2831,3.22,2771,97.88,61,2.15,1028,36.31,67,2.37,117,4.13,851,30.06,567,20.03,469,16.57,253,8.94,865,30.55,251,8.87,244,8.62,171,6.04,244,8.62,539,19.04,304,10.74,161,5.69,2405,84.95,57,2.01,131,4.63,1164,41.12,1669,58.95,132,4.66,451,15.93,1778,62.80,169,5.97,2537,89.61,1966,69.45,2354,83.15,X,X,2170,76.65,2142,75.66,2477,87.50,1786,63.09,1045,36.91,2114,74.67
37721,VT&S,False,3670,4.18,3654,99.56,17,0.46,1130,30.79,60,1.63,106,2.89,930,25.34,553,15.07,489,13.32,215,5.86,891,24.28,229,6.24,224,6.10,208,5.67,261,7.11,519,14.14,328,8.94,159,4.33,2990,81.47,54,1.47,122,3.32,1366,37.22,1811,49.35,128,3.49,337,9.18,2151,58.61,151,4.11,3436,93.62,2066,56.29,2755,75.07,2170,59.13,X,X,2688,73.24,2995,81.61,1564,42.62,1766,48.12,2464,67.14
39120,Convergenze,False,5879,6.69,5860,99.68,20,0.34,1435,24.41,47,0.80,112,1.91,1043,17.74,650,11.06,579,9.85,244,4.15,1267,21.55,300,5.10,263,4.47,203,3.45,287,4.88,545,9.27,431,7.33,174,2.96,4982,84.74,43,0.73,137,2.33,1713,29.14,3780,64.30,146,2.48,437,7.43,4669,79.42,191,3.25,5515,93.81,3702,62.97,4886,83.11,2142,36.43,2688,45.72,X,X,4778,81.27,1765,30.02,1266,21.53,4034,68.62
49544,i3D.net,False,8267,9.41,8198,99.17,70,0.85,2133,25.80,89,1.08,135,1.63,1427,17.26,959,11.60,805,9.74,274,3.31,1645,19.90,414,5.01,365,4.42,248,3.00,378,4.57,770,9.31,487,5.89,212,2.56,6475,78.32,85,1.03,198,2.40,2421,29.29,3656,44.22,164,1.98,523,6.33,4036,48.82,448,5.42,7329,88.65,4725,57.15,6104,73.84,2477,29.96,2995,36.23,4778,57.80,X,X,1962,23.73,1561,18.88,4701,56.86
52320,GlobeNet,False,2165,2.47,2141,98.89,25,1.15,898,41.48,65,3.00,101,4.67,771,35.61,518,23.93,434,20.05,230,10.62,849,39.21,217,10.02,222,10.25,143,6.61,236,10.90,500,23.09,296,13.67,151,6.97,2013,92.98,56,2.59,120,5.54,1098,50.72,1674,77.32,132,6.10,458,21.15,1829,84.48,129,5.96,2008,92.75,2005,92.61,1987,91.78,1786,82.49,1564,72.24,1765,81.52,1962,90.62,X,X,894,41.29,1814,83.79
64289,Macarne,False,2278,2.59,2253,98.90,26,1.14,674,29.59,41,1.80,81,3.56,719,31.56,365,16.02,328,14.40,137,6.01,530,23.27,150,6.58,173,7.59,141,6.19,182,7.99,377,16.55,224,9.83,149,6.54,1826,80.16,40,1.76,96,4.21,1071,47.01,975,42.80,80,3.51,156,6.85,1247,54.74,147,6.45,2102,92.27,950,41.70,1397,61.33,1045,45.87,1766,77.52,1266,55.58,1561,68.53,894,39.24,X,X,1301,57.11
199524,G-Core,False,5925,6.75,5816,98.16,110,1.86,1340,22.62,75,1.27,123,2.08,1076,18.16,658,11.11,523,8.83,248,4.19,1298,21.91,353,5.96,288,4.86,219,3.70,330,5.57,521,8.79,483,8.15,178,3.00,4780,80.68,69,1.16,166,2.80,1592,26.87,3280,55.36,155,2.62,598,10.09,3771,63.65,308,5.20,5220,88.10,4124,69.60,4500,75.95,2114,35.68,2464,41.59,4034,68.08,4701,79.34,1814,30.62,1301,21.96,X,X
